Date,Open,High,Low,Close,Adj Close,Volume
9/27/2021,1615.699951,1635.5,1608,1625.099976,1588.208618,8207731
9/28/2021,1632,1632,1582,1615.050049,1578.386841,6386895
9/29/2021,1597,1606.599976,1585.150024,1593.849976,1557.667969,8131518
9/30/2021,1586,1606.349976,1583.099976,1594.949951,1558.743042,7987674
10/1/2021,1583,1589,1565.25,1582.699951,1546.771118,5564298
10/4/2021,1589,1601.349976,1583.599976,1585.75,1549.751953,3525514
10/5/2021,1592,1597.5,1576.25,1595.449951,1559.231689,5128589
10/6/2021,1596,1626.849976,1587,1614.900024,1578.240234,9300415
10/7/2021,1626.599976,1627.699951,1607,1610.5,1573.940186,5632862
10/8/2021,1612,1622,1600.150024,1602.650024,1566.268311,3622781
10/11/2021,1599.900024,1645,1599,1633.800049,1596.711304,6540424
10/12/2021,1625,1641.550049,1625,1629.599976,1592.606567,4088473
10/13/2021,1637,1648,1630,1639.400024,1602.184082,3112822
10/14/2021,1638,1690,1638,1687.400024,1649.09436,7378644
10/18/2021,1705,1725,1667.050049,1670.300049,1632.38269,14428228
10/19/2021,1675.449951,1692.449951,1671,1688.699951,1650.364868,4493770
10/20/2021,1689.099976,1698.75,1664.449951,1673.849976,1635.851929,5454284
10/21/2021,1671.800049,1681.949951,1660.849976,1676.300049,1638.246338,4869095
10/22/2021,1680.099976,1708,1670.75,1680.75,1642.595337,6087777
10/25/2021,1690,1690,1613.800049,1657,1619.384521,8213383
10/26/2021,1650,1673.849976,1646.349976,1652.75,1615.231079,6045328
10/27/2021,1652.75,1665.050049,1637.300049,1642.800049,1605.506958,6624821
10/28/2021,1650,1650,1587.150024,1593.599976,1557.423828,8898875
10/29/2021,1590,1602,1560,1582.849976,1546.917725,6203437
11/1/2021,1585,1611,1583.550049,1605.300049,1568.858276,4061160
11/2/2021,1606,1622,1600.050049,1606.75,1570.275269,6618861
11/3/2021,1605.099976,1609.900024,1575.550049,1581.449951,1545.549561,5103669
11/4/2021,1595,1597.849976,1590.099976,1593.949951,1557.765747,548404
11/8/2021,1592.099976,1604.699951,1570.449951,1600.25,1563.922852,9471790
11/9/2021,1594.599976,1594.599976,1569.050049,1572.25,1536.558472,6347738
11/10/2021,1568,1569,1550,1555.25,1519.944458,6857063
11/11/2021,1550.050049,1554.900024,1535.599976,1548.300049,1513.1521,3999702
11/12/2021,1550,1559.050049,1545.050049,1553,1517.745483,7457046
11/15/2021,1562.099976,1571.849976,1554.400024,1557.25,1521.898926,4766797
11/16/2021,1555,1557.199951,1541.599976,1548,1512.858887,4122703
11/17/2021,1536.900024,1544,1528.5,1530.800049,1496.049316,3799439
11/18/2021,1526.050049,1543.5,1525.25,1539.400024,1504.454224,4576437
11/22/2021,1546,1552.699951,1499.050049,1515.349976,1480.950073,7630636
11/23/2021,1502,1527.800049,1496.349976,1515.550049,1481.14563,5617607
11/24/2021,1524,1536.349976,1514.050049,1518.050049,1483.588867,15401143
11/25/2021,1514.800049,1533.300049,1507,1525.949951,1491.309448,5125826
11/26/2021,1500,1506.699951,1485,1489.900024,1456.077881,9312468
11/29/2021,1494.800049,1507.650024,1462,1501.25,1467.170166,6495498
11/30/2021,1495,1529,1486.550049,1493.550049,1459.64502,12610771
12/1/2021,1495,1507.050049,1489.099976,1504.650024,1470.493042,4338817
12/2/2021,1504.5,1528.800049,1500,1525.75,1491.114136,5601555
12/3/2021,1525.800049,1535.949951,1507.050049,1513.550049,1479.19104,4062347
12/6/2021,1513,1518.800049,1497.349976,1503.800049,1469.662354,3514766
12/7/2021,1513.949951,1532,1509.900024,1525.699951,1491.065063,6213767
12/8/2021,1536,1555.050049,1534,1553.800049,1518.527222,7647767
12/9/2021,1545.199951,1554.699951,1522,1526.849976,1492.188965,5873872
12/10/2021,1524.900024,1528,1508.449951,1522.550049,1487.986694,3889692
12/13/2021,1526,1537.650024,1507.199951,1511.150024,1476.845581,5161071
12/14/2021,1502.5,1516,1497.050049,1502.449951,1468.342896,4595550
12/15/2021,1503,1523.349976,1495.650024,1500,1465.948608,5057574
12/16/2021,1512.800049,1517,1494,1500.099976,1466.046265,6605216
12/17/2021,1497,1506,1467.699951,1473.050049,1439.610352,7497384
12/20/2021,1452,1458,1414.099976,1425.650024,1393.286499,10578334
12/21/2021,1439.5,1450.75,1430,1441.800049,1409.069824,4559375
12/22/2021,1452.300049,1456,1435.699951,1445.199951,1412.392578,4288742
12/23/2021,1453.25,1457.800049,1436.849976,1444.099976,1411.317505,4889583
12/24/2021,1445.5,1452,1428,1438.900024,1406.235596,2780512
12/27/2021,1428.900024,1454,1422.150024,1450.800049,1417.865479,2352549
12/28/2021,1460.699951,1466.900024,1453.400024,1460.800049,1427.63855,2725339
12/29/2021,1456.050049,1461,1447.400024,1453.849976,1420.846191,3834351
12/30/2021,1458.5,1466.849976,1445,1461.5,1428.32251,3607959
12/31/2021,1461.5,1484.800049,1461.5,1479.400024,1445.816162,3162868
1/3/2022,1485,1523,1480.5,1519.650024,1485.152466,4534592
1/4/2022,1520,1532.900024,1507.800049,1528.550049,1493.850464,4428676
1/5/2022,1536.800049,1572,1528.099976,1564.849976,1529.326416,7166319
1/6/2022,1543,1554.75,1530.050049,1539.75,1504.796143,4814465
1/7/2022,1544,1566.75,1535.900024,1550.550049,1515.351074,5589692
1/10/2022,1558,1572,1545.5,1559.150024,1523.755737,4428248
1/11/2022,1561.550049,1568.699951,1547.800049,1565.900024,1530.352539,4194599
1/12/2022,1568,1576.650024,1552,1556.650024,1521.312622,10542765
1/13/2022,1555,1555,1520.400024,1528,1493.312988,20981948
1/14/2022,1530,1548.699951,1519,1545.150024,1510.07373,5604484
1/17/2022,1530,1556,1519.150024,1521.5,1486.960449,11494686
1/18/2022,1533,1550.900024,1523,1529.25,1494.534546,6170576
1/19/2022,1534,1539.75,1513.349976,1518.449951,1483.979736,7158813
1/20/2022,1528.449951,1528.5,1500.099976,1509,1474.744263,7598923
1/21/2022,1500,1529.800049,1485.599976,1521.599976,1487.058228,5768847
1/24/2022,1509.949951,1521.25,1467.550049,1486.650024,1452.901611,5934254
1/25/2022,1458.650024,1495,1444,1488.050049,1454.269897,6797124
1/27/2022,1450,1485,1435,1474.949951,1441.467163,14308919
1/28/2022,1477.5,1486.699951,1460,1463.25,1430.032837,12462604
1/31/2022,1472.75,1491.550049,1466.800049,1485.699951,1451.973145,6421273
2/1/2022,1508.5,1517,1473.449951,1497,1463.016724,7369742
2/2/2022,1511.949951,1535,1505.599976,1531.199951,1496.440186,6984645
2/3/2022,1528.75,1539.949951,1509,1515.349976,1480.950073,5282381
2/4/2022,1528.400024,1532.849976,1514.099976,1524,1489.403687,5789979
2/7/2022,1512.099976,1519,1460,1468.150024,1434.821533,6134021
2/8/2022,1476.400024,1478.449951,1444.550049,1461.849976,1428.664673,6990565
2/9/2022,1474,1499.699951,1467,1497.599976,1463.603027,5654171
2/10/2022,1514,1535.5,1501.650024,1525.099976,1490.47876,7157265
2/11/2022,1500.25,1525,1499.5,1518.849976,1484.370605,5355552
2/14/2022,1490,1499.449951,1469.300049,1473.699951,1440.245605,7328310
2/15/2022,1476,1524.900024,1473.050049,1517.800049,1483.344604,6567533
2/16/2022,1534.349976,1534.75,1507,1515.75,1481.340942,5016132
2/17/2022,1513.099976,1522,1502,1506.5,1472.300903,3675604
2/18/2022,1498.300049,1517,1490.449951,1512.349976,1478.018188,3898064
2/21/2022,1504,1530.699951,1495.550049,1522.099976,1487.546875,3734033
2/22/2022,1489.800049,1522.099976,1487.949951,1510.699951,1476.40564,4768098
2/23/2022,1525.099976,1525.699951,1495.650024,1500.900024,1466.828247,4514781
2/24/2022,1449.900024,1474.949951,1407.150024,1419.400024,1387.178223,11815383
2/25/2022,1439.949951,1465.900024,1432.849976,1456.099976,1423.045166,9159327
2/28/2022,1426,1438.550049,1414.050049,1426.25,1393.872803,12440416
3/2/2022,1386.5,1398.400024,1354.400024,1374.25,1343.053223,19252780
3/3/2022,1381,1392,1362.900024,1371,1339.877075,8763961
3/4/2022,1360,1386,1336.900024,1366.5,1335.479248,10609682
3/7/2022,1318.5,1332.349976,1297.050049,1324.800049,1294.72583,13527229
3/8/2022,1302.199951,1334,1292,1327.800049,1297.657715,19606246
3/9/2022,1330,1374.699951,1318.849976,1371.150024,1340.023682,11567347
3/10/2022,1427,1427,1380.25,1392.699951,1361.084351,11136603
3/11/2022,1388,1408.949951,1372.699951,1396.800049,1365.091309,7575390
3/14/2022,1415,1450,1415,1442.550049,1409.802734,12509063
3/15/2022,1443.5,1449.5,1411.75,1424,1391.673828,9433964
3/16/2022,1447,1455,1436.199951,1448.150024,1415.275635,6682054
3/17/2022,1472,1489.800049,1470.550049,1480.050049,1446.451538,7411977
3/21/2022,1487,1493.650024,1472.800049,1486.5,1452.755005,6128938
3/22/2022,1481.300049,1498,1457.199951,1494.150024,1460.231445,5230907
3/23/2022,1507,1518.800049,1473.599976,1479.25,1445.669556,15594128
3/24/2022,1466,1469.650024,1434.550049,1442.650024,1409.900513,10080022
3/25/2022,1451,1452,1419,1430.900024,1398.417236,8183231
3/28/2022,1430.900024,1438,1401.599976,1432.800049,1400.27417,7877443
3/29/2022,1441,1460.25,1430,1451.800049,1418.842773,6188724
3/30/2022,1472,1482.75,1454.050049,1476.949951,1443.421753,10054871
3/31/2022,1471,1484.699951,1465.900024,1470.349976,1436.97168,7147857
4/1/2022,1476.400024,1510,1470.300049,1506,1471.812378,7284278
4/4/2022,1580,1722.099976,1562.550049,1656.800049,1619.189209,48725485
4/5/2022,1666.699951,1666.699951,1602,1608.25,1571.741211,15461291
4/6/2022,1587.699951,1589.800049,1547.349976,1550.849976,1515.644165,13513930
4/7/2022,1541.300049,1541.349976,1513.699951,1516.75,1482.318237,20390866
4/8/2022,1512.099976,1525.75,1497.300049,1514.650024,1480.265991,20628161
4/11/2022,1506,1510,1493.25,1496.150024,1462.186035,10399533
4/12/2022,1484,1506.849976,1480.150024,1493.5,1459.596191,13717701
4/13/2022,1490,1502.300049,1462.650024,1464.949951,1431.694214,14446260
4/18/2022,1418.849976,1431.650024,1390.050049,1395.449951,1363.771973,22810188
4/19/2022,1380.900024,1389.550049,1327,1342.199951,1311.730835,37048011
4/20/2022,1354.449951,1359.900024,1335.349976,1354.300049,1323.556152,24662868
4/21/2022,1365,1379.800049,1353.300049,1374.349976,1343.151001,26223135
4/22/2022,1360,1375.349976,1349.150024,1355.599976,1324.826538,10329574
4/25/2022,1350,1370.650024,1322.25,1365.75,1334.746094,10467744
4/26/2022,1372,1381.949951,1357.150024,1372.050049,1340.903198,8508421
4/27/2022,1360,1379,1356.099976,1372.550049,1341.391846,9027167
4/28/2022,1372,1379,1362.099976,1371.349976,1340.218994,10386861
4/29/2022,1380.349976,1404.75,1371.550049,1384.599976,1353.168335,14200738
5/2/2022,1362.050049,1406.449951,1362.050049,1403.699951,1371.834717,9747158
5/4/2022,1400,1403.599976,1350,1356,1325.217529,14527958
5/5/2022,1375,1375,1346.5,1352.949951,1322.236694,8931456
5/6/2022,1330,1335,1313,1317.599976,1287.689087,13365634
5/9/2022,1300,1326.5,1295.5,1319.849976,1289.888062,16381217
5/10/2022,1315.050049,1353,1315.050049,1341.050049,1310.606934,10056906
5/11/2022,1353,1355,1328.650024,1348.599976,1317.985474,8551462
5/12/2022,1321.099976,1326.800049,1293,1303.050049,1288.276245,11191145
5/13/2022,1310.050049,1318,1287,1291.349976,1276.708862,8384119
5/16/2022,1299,1312,1285.300049,1305.099976,1290.302856,4902178
5/17/2022,1312.599976,1317,1298.199951,1314,1299.102051,8320722
5/18/2022,1324.050049,1333.300049,1310,1313.900024,1299.003174,7866192
5/19/2022,1286.199951,1296.400024,1278.300049,1287.050049,1272.457642,10268753
5/20/2022,1303,1324.199951,1292.349976,1320.949951,1305.973145,6959675
5/23/2022,1314,1329.949951,1299.099976,1304,1289.215454,9743160
5/24/2022,1300,1325,1296.900024,1318.949951,1303.99585,6435398
5/25/2022,1330,1335.949951,1323.199951,1328.800049,1313.734253,6443556
5/26/2022,1342.150024,1371,1340,1366.699951,1351.204468,13496214
5/27/2022,1371.800049,1394.699951,1370.75,1392.050049,1376.267212,12015859
5/30/2022,1410.25,1420.5,1398.449951,1401.550049,1385.659424,6312337
5/31/2022,1395.900024,1404.800049,1380,1388.949951,1373.202148,6742694
6/1/2022,1380,1400.449951,1379.150024,1394.849976,1379.035278,6045948
6/2/2022,1387.25,1388,1378.599976,1385.099976,1369.395874,5737510
6/3/2022,1398.300049,1400.75,1376.300049,1380.300049,1364.650391,3478622
6/6/2022,1376.300049,1387,1360.650024,1378.449951,1362.821289,3086633
6/7/2022,1362,1374.300049,1354.099976,1362.599976,1347.151001,5126983
6/8/2022,1373.300049,1381,1357,1367.400024,1351.896606,2993294
6/9/2022,1362.25,1382.050049,1357.150024,1377.699951,1362.079712,3655908
6/10/2022,1360.099976,1367.949951,1343.599976,1351.099976,1335.781372,4577715
6/13/2022,1323.599976,1330,1308.300049,1326.599976,1311.559204,5446286
6/14/2022,1311.25,1326,1305,1312,1297.124756,5935178
6/15/2022,1301.650024,1315.800049,1298.400024,1307.449951,1292.626221,5905235
6/16/2022,1310,1320.550049,1278,1281.300049,1266.772827,6084596
6/17/2022,1275,1299,1271.599976,1289.75,1275.126953,7361961
6/20/2022,1304.699951,1325,1294.150024,1322.150024,1307.159668,7968420
6/21/2022,1336.900024,1354,1324.050049,1336.550049,1321.396362,6610342
6/22/2022,1332.25,1336.949951,1323.199951,1330.25,1315.167847,4079849
6/23/2022,1330.5,1348,1318.5,1335.150024,1320.012207,7686122
6/24/2022,1338.550049,1361.650024,1338.550049,1353.800049,1338.450806,4006716
6/27/2022,1370,1376,1352,1356.25,1340.873047,4902082
6/28/2022,1344,1351,1338.400024,1345.900024,1330.640381,4885287
6/29/2022,1331.25,1350.75,1331.25,1343.949951,1328.712402,4997023
6/30/2022,1336,1354,1336,1348,1332.716553,6237911
7/1/2022,1343.949951,1360,1330.050049,1353.75,1338.401367,5736226
7/4/2022,1353.699951,1360.199951,1342.25,1355.650024,1340.279785,4243740
7/5/2022,1364,1379.349976,1348.300049,1352.599976,1337.264404,7162859
7/6/2022,1348,1373.400024,1347.099976,1371.25,1355.702881,7524539
7/7/2022,1380,1398,1374.449951,1395.800049,1379.974609,8871571
7/8/2022,1410,1410,1394.75,1397.099976,1381.259888,6237015
7/11/2022,1394,1409.900024,1393.25,1406.150024,1390.207275,3731416
7/12/2022,1405.25,1405.25,1389.400024,1391.800049,1376.02002,4938487
7/13/2022,1390,1394.199951,1354.25,1357.849976,1342.454834,7972805
7/14/2022,1362,1372.650024,1349.25,1351.050049,1335.732056,5186205
7/15/2022,1353,1364.900024,1346.800049,1362.050049,1346.6073,6797823
7/18/2022,1348,1366.099976,1342.050049,1347.550049,1332.271729,10166110
7/19/2022,1337,1358.550049,1337,1348.050049,1332.765991,7896269
7/20/2022,1359.900024,1371.099976,1355.25,1365.050049,1349.573242,10173931
7/21/2022,1360.550049,1369.5,1358.099976,1360.75,1345.322021,6320139
7/22/2022,1366,1397,1362.400024,1392.5,1376.712036,6364796
7/25/2022,1395,1404.599976,1383.300049,1396.599976,1380.765503,5071563
7/26/2022,1396,1402,1386.300049,1393.75,1377.947876,4263982
7/27/2022,1388.900024,1406,1384.25,1404.400024,1388.477051,4606389
7/28/2022,1415.050049,1424,1411,1416.849976,1400.785889,8710203
7/29/2022,1438,1438.599976,1415.300049,1434.199951,1417.939209,10009868
8/1/2022,1439,1448.449951,1430.050049,1446.150024,1429.753784,6596518
8/2/2022,1442,1444.599976,1423.050049,1430.25,1414.034058,7518255
8/3/2022,1424.949951,1435.75,1417,1433.599976,1417.345947,5487749
8/4/2022,1440,1446.699951,1412.949951,1431.900024,1415.665283,6006103
8/5/2022,1433,1436.949951,1421.150024,1427.050049,1410.870361,4634491
8/8/2022,1428,1464.5,1427.099976,1462.050049,1445.473511,7678868
8/10/2022,1461.349976,1471.5,1449.050049,1466.300049,1449.675293,8676551
8/11/2022,1486.5,1491,1474.550049,1485.699951,1468.855225,9150883
8/12/2022,1485,1489.300049,1475.949951,1485.150024,1468.311523,4425185
8/16/2022,1494.800049,1508.5,1488.050049,1502.150024,1485.118774,6281878
8/17/2022,1500,1512.75,1485.75,1509.900024,1492.781006,6192175
8/18/2022,1500,1513.900024,1499.650024,1511.699951,1494.560425,4171069
8/19/2022,1510,1512,1490,1493.050049,1476.12207,4031851
8/22/2022,1484.800049,1488.349976,1467.699951,1470.349976,1453.679321,4117033
8/23/2022,1453.300049,1475.949951,1450.400024,1465.800049,1449.18103,7483442
8/24/2022,1461.900024,1475.5,1459.199951,1472.849976,1456.151001,6727760
8/25/2022,1479.900024,1486.800049,1457,1464.849976,1448.241699,5911520
8/26/2022,1472.050049,1481.800049,1461.199951,1465.099976,1448.488892,3853088
8/29/2022,1437,1446,1428.599976,1439.400024,1423.080322,4326589
8/30/2022,1446.449951,1489.949951,1443.099976,1486.099976,1469.250732,5067700
9/1/2022,1464.75,1489.449951,1459,1472.150024,1455.458984,11201568
9/2/2022,1472.150024,1490.5,1465.199951,1485.5,1468.657593,6019043
9/5/2022,1486.099976,1499,1484.099976,1495.050049,1478.099365,6065966
9/6/2022,1498.900024,1506.650024,1486.449951,1489.349976,1472.463867,6119348
9/7/2022,1471.300049,1490,1471.300049,1482.300049,1465.493896,4888103
9/8/2022,1490.099976,1500,1482.150024,1497.599976,1480.620361,5582345
9/9/2022,1496.199951,1509,1494.050049,1498.599976,1481.609009,7564444
9/12/2022,1500,1504,1490,1493.550049,1476.616333,5540246
9/13/2022,1498.900024,1515.900024,1498.550049,1513.099976,1495.94458,6500983
9/14/2022,1494.050049,1538.900024,1492.349976,1528.650024,1511.318359,10109880
9/15/2022,1530,1540.949951,1512,1520.699951,1503.458496,6769686
9/16/2022,1503.099976,1514.699951,1483,1492.75,1475.825439,10280023
9/19/2022,1489,1514,1480,1502.599976,1485.563721,6038019
9/20/2022,1514,1524,1509.900024,1520.699951,1503.458496,5390834
9/21/2022,1508,1521.5,1505,1518.349976,1501.135132,4536152
9/22/2022,1502,1510.150024,1482.75,1486,1469.151855,6024072
9/23/2022,1472.349976,1475,1437,1446.150024,1429.753784,7903126
